LexToken(COMMENTBLOCK,'/* Block comment example\nThis is a test for the block comment token.\n*/',2,1)
LexToken(COMMENTLINE,'// Line comment example',4,74)
LexToken(VOID,'void',5,98)
LexToken(MAIN,'main',5,103)
LexToken(LBRACE,'{',5,108)
LexToken(INT,'int',6,114)
LexToken(VARIABLE,'number',6,118)
LexToken(EQUALS,'=',6,125)
LexToken(NUMBER,42,6,127)
LexToken(DOTCOMMA,';',6,129)
LexToken(DOUBLE,'double',7,135)
LexToken(VARIABLE,'decimalNumber',7,142)
LexToken(EQUALS,'=',7,156)
LexToken(FLOAT,3.14,7,158)
LexToken(DOTCOMMA,';',7,162)
LexToken(BOOLEAN,'boolean',8,168)
LexToken(VARIABLE,'isValid',8,176)
LexToken(EQUALS,'=',8,184)
LexToken(TRUE,'True',8,186)
LexToken(DOTCOMMA,';',8,190)
LexToken(STRING,'String',9,196)
LexToken(VARIABLE,'CONSTANT_STRING',9,203)
LexToken(EQUALS,'=',9,219)
LexToken(CHAINCHAR,'"Hello"',9,221)
LexToken(DOTCOMMA,';',9,228)
LexToken(LIST,'List',10,234)
LexToken(LANGLE,'<',10,238)
LexToken(INT,'int',10,239)
LexToken(RANGLE,'>',10,242)
LexToken(VARIABLE,'myList',10,244)
LexToken(EQUALS,'=',10,251)
LexToken(LBRACKET,'[',10,253)
LexToken(NUMBER,1,10,254)
LexToken(COMMA,',',10,255)
LexToken(NUMBER,3,10,256)
LexToken(COMMA,',',10,257)
LexToken(NUMBER,2,10,258)
LexToken(RBRACKET,']',10,259)
LexToken(DOTCOMMA,';',10,260)
LexToken(MAP,'map',11,266)
LexToken(LANGLE,'<',11,269)
LexToken(STRING,'String',11,270)
LexToken(COMMA,',',11,276)
LexToken(INT,'int',11,278)
LexToken(RANGLE,'>',11,281)
LexToken(VARIABLE,'myMap',11,283)
LexToken(EQUALS,'=',11,289)
LexToken(LBRACE,'{',11,291)
LexToken(CHAINCHAR,'"hola"',11,292)
LexToken(TWODOTS,':',11,298)
LexToken(NUMBER,1,11,300)
LexToken(COMMA,',',11,301)
LexToken(CHAINCHAR,'"adios"',11,303)
LexToken(TWODOTS,':',11,310)
LexToken(NUMBER,2,11,312)
LexToken(RBRACE,'}',11,313)
LexToken(DOTCOMMA,';',11,314)
LexToken(VOID,'void',13,321)
LexToken(MAIN,'main',13,326)
LexToken(LPAREN,'(',13,330)
LexToken(RPAREN,')',13,331)
LexToken(LBRACE,'{',13,333)
LexToken(VAR,'var',14,343)
LexToken(VARIABLE,'instance',14,347)
LexToken(EQUALS,'=',14,356)
LexToken(CHAINCHAR,'"Hello, World!"',14,358)
LexToken(DOTCOMMA,';',14,373)
LexToken(VARIABLE,'instance',15,383)
LexToken(DOT,'.',15,391)
LexToken(VARIABLE,'testMethod',15,392)
LexToken(LPAREN,'(',15,402)
LexToken(RPAREN,')',15,403)
LexToken(DOTCOMMA,';',15,404)
LexToken(RBRACE,'}',16,410)
LexToken(VOID,'void',18,417)
LexToken(VARIABLE,'testMethod',18,422)
LexToken(LPAREN,'(',18,432)
LexToken(RPAREN,')',18,433)
LexToken(LBRACE,'{',18,435)
LexToken(INT,'int',19,445)
LexToken(VARIABLE,'localVar',19,449)
LexToken(EQUALS,'=',19,458)
LexToken(NUMBER,10,19,460)
LexToken(DOTCOMMA,';',19,462)
LexToken(DOUBLE,'double',20,472)
LexToken(VARIABLE,'pi',20,479)
LexToken(EQUALS,'=',20,482)
LexToken(FLOAT,3.14,20,484)
LexToken(DOTCOMMA,';',20,488)
LexToken(BOOLEAN,'boolean',21,498)
LexToken(VARIABLE,'flag',21,506)
LexToken(EQUALS,'=',21,511)
LexToken(FALSE,'False',21,513)
LexToken(DOTCOMMA,';',21,518)
LexToken(STRING,'String',22,528)
LexToken(VARIABLE,'greeting',22,535)
LexToken(EQUALS,'=',22,544)
LexToken(CHAINCHAR,'"Hello, World!"',22,546)
LexToken(DOTCOMMA,';',22,561)
LexToken(STRING,'String',23,571)
LexToken(VARIABLE,'initial',23,578)
LexToken(EQUALS,'=',23,586)
LexToken(CHAINCHAR,'"A"',23,588)
LexToken(DOTCOMMA,';',23,591)
LexToken(IF,'if',25,610)
LexToken(LPAREN,'(',25,613)
LexToken(VARIABLE,'localVar',25,614)
LexToken(RANGLE,'>',25,623)
LexToken(NUMBER,5,25,625)
LexToken(AND,'&&',25,627)
LexToken(VARIABLE,'flag',25,630)
LexToken(EQUALS,'=',25,635)
LexToken(EQUALS,'=',25,636)
LexToken(FALSE,'False',25,638)
LexToken(RPAREN,')',25,643)
LexToken(LBRACE,'{',25,645)
LexToken(PRINT,'print',26,659)
LexToken(LPAREN,'(',26,664)
LexToken(CHAINCHAR,'"localVar is greater than 5"',26,665)
LexToken(RPAREN,')',26,693)
LexToken(DOTCOMMA,';',26,694)
LexToken(RBRACE,'}',27,704)
LexToken(ELSE,'else',27,706)
LexToken(LBRACE,'{',27,711)
LexToken(PRINT,'print',28,725)
LexToken(LPAREN,'(',28,730)
LexToken(CHAINCHAR,'"localVar is less than or equal to 5"',28,731)
LexToken(RPAREN,')',28,768)
LexToken(DOTCOMMA,';',28,769)
LexToken(RBRACE,'}',29,779)
LexToken(FOR,'for',31,790)
LexToken(LPAREN,'(',31,794)
LexToken(INT,'int',31,795)
LexToken(VARIABLE,'i',31,799)
LexToken(EQUALS,'=',31,801)
LexToken(NUMBER,0,31,803)
LexToken(DOTCOMMA,';',31,804)
LexToken(VARIABLE,'i',31,806)
LexToken(LANGLE,'<',31,808)
LexToken(NUMBER,10,31,810)
LexToken(DOTCOMMA,';',31,812)
LexToken(VARIABLE,'i',31,814)
LexToken(PLUS,'+',31,815)
LexToken(PLUS,'+',31,816)
LexToken(RPAREN,')',31,817)
LexToken(LBRACE,'{',31,819)
LexToken(VARIABLE,'myList',32,833)
LexToken(DOT,'.',32,839)
LexToken(VARIABLE,'add',32,840)
LexToken(LPAREN,'(',32,843)
LexToken(VARIABLE,'i',32,844)
LexToken(RPAREN,')',32,845)
LexToken(DOTCOMMA,';',32,846)
LexToken(RBRACE,'}',33,856)
LexToken(VARIABLE,'while',35,867)
LexToken(LPAREN,'(',35,873)
LexToken(VARIABLE,'localVar',35,874)
LexToken(RANGLE,'>',35,883)
LexToken(NUMBER,0,35,885)
LexToken(RPAREN,')',35,886)
LexToken(LBRACE,'{',35,888)
LexToken(VARIABLE,'localVar',36,902)
